name,search_query,sub_category,address_raw,lat,lon
토리카미,을지로 토리카미,또간집,을지로,37.566317667,126.980410427
카미야,홍대 카미야,또간집,홍대,,
와타요업,대전 와타요업,또간집,대전,36.352580200307024,127.37343140929626
담택,합정 담택,또간집,합정,,
연남동,EP.1 연남동,또간집,EP.1,,
자코비버거,이태원 자코비버거,또간집,이태원,,
마카오레스토랑,홍콩 마카오레스토랑,또간집,홍콩,,
길거리야,전주 길거리야,또간집,전주,,
잠실,EP.16 잠실,또간집,EP.16,,
란쿤나이타래덩,방콕 란쿤나이타래덩,또간집,방콕,,
히아 폰 끄라파오 탓,방콕 히아 폰 끄라파오 탓,또간집,방콕,,
realmusic.qshop.ai,성인들을 위한 1:1드럼레슨 realmusic.qshop.ai,또간집,성인들을 위한 1:1드럼레슨,,
