name,category,sub_category,sido,address,lat,lon,source
아람미술관,kculture,museum,경기도,경기도 고양시 일산동구 중앙로 1286 (마두동),37.661951346,126.775190737,public
포마자동차디자인미술관,kculture,museum,경기도,경기도 고양시 덕양구 향뫼로 91 (향동동),37.591820556,126.896463677,public
민속전시관,kculture,museum,경기도,경기도 고양시 일산동구 햇살로105번길 36-7  (정발산동),37.670458228,126.780141362,public
재단법인 중남미 문화원 병설 박물관,kculture,museum,경기도,"경기도 고양시 덕양구 대양로285번길 33-15 (고양동,중남미문화원부설박물관)",37.70397027,126.895379641,public
증권박물관,kculture,museum,경기도,경기도 고양시 일산동구 호수로 358-8 (백석동),37.638537446,126.785986495,public
배다리박물관,kculture,museum,경기도,경기도 고양시 덕양구 수역이길 120-24  (성사동),37.65849147,126.846288247,public
유진민속박물관,kculture,museum,경기도,경기도 고양시 덕양구 고양대로1670번길 78-11 (원흥동),37.645861765,126.865755208,public
(주)일산씨월드-한화 아쿠아플라넷 일산,kculture,museum,경기도,경기도 고양시 일산서구 한류월드로 282  (대화동),37.663716906,126.755458242,public
우석헌자연사박물관,kculture,museum,경기도,경기도 남양주시 진접읍 금강로 1095,37.697866161,127.161083193,public
예당국악박물관,kculture,museum,경기도,경기도 남양주시 강변북로661번길 21  (수석동),37.58992868,127.168392267,public
프라움 악기박물관,kculture,museum,경기도,경기도 남양주시 와부읍 경강로 756,37.568405589,127.227360082,public
덕소자연사박물관,kculture,museum,경기도,경기도 남양주시 와부읍 석실로 46-11,37.579957165,127.230362747,public
미호박물관,kculture,museum,경기도,경기도 남양주시 고산로126번길 15-2  (수석동),37.592709207,127.180664468,public
남양주시립박물관,kculture,museum,경기도,경기도 남양주시 와부읍 팔당로 121,37.546369631,127.244370784,public
서호미술관,kculture,museum,경기도,경기도 남양주시 화도읍 북한강로 1344,37.63273396,127.351531689,public
한강뮤지엄,kculture,museum,경기도,경기도 남양주시 와부읍 경강로926번길 30-0,37.553439931,127.236681223,public
현대어린이책미술관 MOKA GARDEN,kculture,museum,경기도,"경기도 남양주시 다산순환로 50-0  (다산동,현대프리미엄아울렛SPACE1)",37.616117059,127.152593636,public
왈츠와 닥터만 커피박물관,kculture,museum,경기도,경기도 남양주시 조안면 북한강로 856-37 (왈츠와닥터만),37.591966491,127.338456487,public
시흥오이도박물관,kculture,museum,경기도,경기도 시흥시 오이도로 332-0  (정왕동),37.334662804,126.691755214,public
창조자연사박물관,kculture,museum,경기도,"경기도 시흥시 두문로71번길 4-0  (신천동,창조자연사박물관)",37.433485686,126.785825038,public
소전미술관,kculture,museum,경기도,"경기도 시흥시 소래산길 41-0 (대야동,소전미술관)",37.451940622,126.785489572,public
도가헌미술관,kculture,museum,경기도,경기도 용인시 기흥구 구성로448번길 13 (청덕동),37.295083287,127.155828152,public
근현대사미술관담다,kculture,museum,경기도,"경기도 용인시 기흥구 강남동로140번길 1-6, 1층 (상하동)",37.277163026,127.136693687,public
한국미술관,kculture,museum,경기도,경기도 용인시 기흥구 마북로 244-2  (마북동),37.308752329,127.132030686,public
백남준 아트센터,kculture,museum,경기도,경기도 용인시 기흥구 상갈로 6  (상갈동),37.267427989,127.109123579,public
호암미술관,kculture,museum,경기도,경기도 용인시 처인구 포곡읍 에버랜드로562번길 38,37.293212403,127.192332672,public
단국역사관,kculture,museum,경기도,"경기도 용인시 수지구 죽전로 152, 단국대학교 (죽전동)",37.321197054,127.127435723,public
용인문화유적전시관,kculture,museum,경기도,"경기도 용인시 기흥구 동백3로 79-0  (중동,용인동백문화유적전시관)",37.273925615,127.157158016,public
용인문화유적전시관,kculture,museum,경기도,"경기도 용인시 기흥구 동백3로 79-0  (중동,용인동백문화유적전시관)",37.273925615,127.157158016,public
용인문화유적전시관,kculture,museum,경기도,"경기도 용인시 기흥구 동백3로 79-0  (중동,용인동백문화유적전시관)",37.273925615,127.157158016,public
용인문화유적전시관,kculture,museum,경기도,"경기도 용인시 기흥구 동백3로 79-0  (중동,용인동백문화유적전시관)",37.273925615,127.157158016,public
용인시박물관,kculture,museum,경기도,"경기도 용인시 기흥구 동백3로 79-0  (중동,용인동백문화유적전시관)",37.273925615,127.157158016,public
설민민화박물관,kculture,museum,경기도,경기도 용인시 처인구 동부로 823  (해곡동),37.189366488,127.277016858,public
신영숙콜렉션,kculture,museum,경기도,경기도 용인시 기흥구 흥덕4로 63  (영덕동),37.277753082,127.090315746,public
경기도박물관,kculture,museum,경기도,경기도 용인시 기흥구 상갈로 6  (상갈동),37.267427989,127.109123579,public
삼성화재 모빌리티 뮤지엄,kculture,museum,경기도,경기도 용인시 처인구 포곡읍 에버랜드로376번길 171-0 (삼성교통박물관),37.300372336,127.216953747,public
한국등잔박물관,kculture,museum,경기도,경기도 용인시 처인구 모현읍 능곡로56번길 8-0 (등잔박물관),37.336339455,127.178032105,public
한국민속촌박물관,kculture,museum,경기도,경기도 용인시 기흥구 민속촌로 90  (보라동),37.25709759,127.11722965,public
단국대학교 석주선기념박물관,kculture,museum,경기도,경기도 용인시 수지구 죽전로 152  (죽전동),37.321197054,127.127435723,public
둥지박물관,kculture,museum,경기도,경기도 용인시 처인구 원삼면 후평로 165-15,37.140075416,127.324427848,public
용인대학교 박물관,kculture,museum,경기도,경기도 용인시 처인구 용인대학로 134  (삼가동),37.226477232,127.169006155,public
경희대 혜정박물관,kculture,museum,경기도,경기도 용인시 기흥구 덕영대로 1732 (서천동),37.243623102,127.081231063,public
삶의 이야기가 있는 집,kculture,museum,경기도,경기도 용인시 처인구 원삼면 내동로 50-13,37.173416546,127.295958739,public
콩세유미술관,kculture,museum,경기도,경기도 파주시 광탄면 세류길 7-0,37.738958523,126.879062277,public
영집궁시박물관,kculture,museum,경기도,경기도 파주시 탄현면 국원말길 168,37.785041119,126.711551129,public
한향림옹기박물관,kculture,museum,경기도,경기도 파주시 탄현면 헤이리마을길 96-43,37.789929557,126.70093138,public
타임앤블레이드박물관,kculture,museum,경기도,경기도 파주시 탄현면 헤이리마을길 41,37.787330696,126.69786834,public
Art Rin Museum,kculture,museum,경기도,경기도 파주시 광탄면 기산로186번길 59-0,37.773774371,126.916479151,public
한향림도자미술관,kculture,museum,경기도,경기도 파주시 탄현면 헤이리마을길 82-37,37.788973684,126.701156931,public
화이트블럭,kculture,museum,경기도,경기도 파주시 탄현면 헤이리마을길 72,37.788888413,126.699400518,public
미메시스 아트 뮤지엄,kculture,museum,경기도,경기도 파주시 문발로 253  (문발동),37.716650239,126.689099209,public
불루메미술관,kculture,museum,경기도,경기도 파주시 탄현면 헤이리마을길 59-30,37.789223533,126.69667227,public
세계인형박물관,kculture,museum,경기도,경기도 파주시 탄현면 헤이리마을길 76-100,37.786896435,126.70210978,public
세계인형박물관,kculture,museum,경기도,경기도 파주시 탄현면 헤이리마을길 76-100,37.786896435,126.70210978,public
벽봉한국장신구박물관,kculture,museum,경기도,경기도 파주시 탄현면 헤이리마을길 48-38,37.787629652,126.700061355,public
화폐박물관,kculture,museum,경기도,경기도 파주시 탄현면 헤이리마을길 93-89,37.790808047,126.697323617,public
세계민속악기박물관,kculture,museum,경기도,경기도 파주시 탄현면 헤이리마을길 63-26,37.789505308,126.699379478,public
한길책박물관,kculture,museum,경기도,경기도 파주시 탄현면 헤이리마을길 59-6 (한길책박물관),37.789178485,126.69786818,public
한국근현대사박물관,kculture,museum,경기도,경기도 파주시 탄현면 헤이리마을길 59-85,37.790865656,126.69522226,public
두루뫼사료관,kculture,museum,경기도,경기도 파주시 법원읍 초리골길 278,37.856839236,126.896053082,public
외할머니의 부엌,kculture,museum,경기도,경기도 김포시 대곶면 덕포진로103번길 95-7,37.649975688,126.538977407,public
덕포진교육박물관,kculture,museum,경기도,경기도 김포시 대곶면 덕포진로103번길 90-0  (덕포진교육박물관),37.650653713,126.538722307,public
김포시독립운동기념관,kculture,museum,경기도,경기도 김포시 양촌읍 양곡2로30번길 46-0  (김포시독립운동기념관),37.653381534,126.6296725,public
보름산미술관,kculture,museum,경기도,경기도 김포시 고촌읍 수기로 100-78,37.596323055,126.760516927,public
보름산미술관,kculture,museum,경기도,경기도 김포시 고촌읍 수기로 100-78,37.596323055,126.760516927,public
CICA미술관,kculture,museum,경기도,경기도 김포시 양촌읍 삼도로 196-30,37.608197194,126.597797757,public
뮤지엄한미 김포,kculture,museum,경기도,"경기도 김포시 통진읍 가현로 201-25, 201-29",37.679993176,126.59178216,public
김포 다도박물관,kculture,museum,경기도,경기도 김포시 월곶면 애기봉로275번길 187-49,37.737535356,126.574455871,public
독립기념관,kculture,museum,충청남도,"충청남도 천안시 동남구 목천읍 독립기념관로 1, 독립기념관",36.783555351,127.221335979,public
도계민화미술박물관,kculture,museum,충청남도,"충청남도 천안시 동남구 정골1길 73-9  (구성동,도계민화박물관)",36.792807064,127.172231109,public
도계민화박물관,kculture,museum,충청남도,충청남도 천안시 동남구 정골1길 73-9  (구성동),36.792807064,127.172231109,public
천안시립미술관,kculture,museum,충청남도,충청남도 천안시 동남구 성남면 종합휴양지로 185,36.756008717,127.225864065,public
천안흥타령관,kculture,museum,충청남도,충청남도 천안시 동남구 천안대로 412-0  (삼룡동),36.78479127,127.165600509,public
유관순열사기념관,kculture,museum,충청남도,충청남도 천안시 동남구 병천면 유관순길 38-0,36.759504291,127.30861622,public
석오이동녕기념관,kculture,museum,충청남도,충청남도 천안시 동남구 목천읍 동리4길 35-0  (석오이동녕선생기념관),36.790715022,127.238579979,public
리각 미술관,kculture,museum,충청남도,충청남도 천안시 동남구 태조산길 261  (유량동),36.824551212,127.194389486,public
전주역사박물관,kculture,museum,전북특별자치도,전북특별자치도 전주시 완산구 쑥고개로 259  (효자동2가),35.801119756,127.093459095,public
전주대학교박물관,kculture,museum,전북특별자치도,"전북특별자치도 전주시 완산구 천잠로 303-0  (효자동2가,전주대학교)",35.817092497,127.085016433,public
국립전주박물관,kculture,museum,전북특별자치도,전북특별자치도 전주시 완산구 쑥고개로 249  (효자동2가),35.801263523,127.089653654,public
전주한지박물관,kculture,museum,전북특별자치도,전북특별자치도 전주시 덕진구 팔복로 59  (팔복동2가),35.848989243,127.098105978,public
전주전통술박물관,kculture,museum,전북특별자치도,전북특별자치도 전주시 완산구 한지길 74  (풍남동3가),35.816865321,127.153468535,public
전주전통술박물관,kculture,museum,전북특별자치도,전북특별자치도 전주시 완산구 한지길 74  (풍남동3가),35.816865321,127.153468535,public
전북대학교부속박물관,kculture,museum,전북특별자치도,전북특별자치도 전주시 덕진구 백제대로 567  (덕진동1가),35.846572659,127.132546922,public
어진박물관,kculture,museum,전북특별자치도,"전북특별자치도 전주시 완산구 태조로 44  (풍남동3가,경기전)",35.814799818,127.149353576,public
누벨백미술관,kculture,museum,전북특별자치도,전북특별자치도 전주시 완산구 홍산북로 29-5  (효자동3가),35.817894944,127.104948287,public
구바울기념의학박물관,kculture,museum,전북특별자치도,"전북특별자치도 전주시 완산구 서원로 382, 전주 기독교 박물관 (중화산동1가)",35.814529312,127.135247326,public
교동미술관,kculture,museum,전북특별자치도,전북특별자치도 전주시 완산구 경기전길 89  (풍남동3가),35.815487244,127.151135086,public
전주현대미술관,kculture,museum,전북특별자치도,전북특별자치도 전주시 완산구 풍남문2길 98-1 (전동3가),35.813798704,127.144205334,public
청목미술관,kculture,museum,전북특별자치도,"전북특별자치도 전주시 완산구 팔달로 232, 1층 (서노송동)",35.822908116,127.145595368,public
미술관 솔,kculture,museum,전북특별자치도,"전북특별자치도 전주시 완산구 팔달로 212-6, 4,5층 (경원동3가)",35.821101172,127.14646843,public
여수민속전시관,kculture,museum,전라남도,"전라남도 여수시 율촌면 서부로 1442, 여수민속전시관",34.846980723,127.556753253,public
포항시립미술관,kculture,museum,경상북도,"경상북도 포항시 북구 환호공원길 10-0  (환호동,포항시립미술관)",36.066278999,129.391232789,public
포항바다화석박물관,kculture,museum,경상북도,경상북도 포항시 남구 호미곶면 해맞이로 136,36.077177148,129.566609377,public
영일민속박물관,kculture,museum,경상북도,경상북도 포항시 북구 흥해읍 한동로 51-0  (영일민속박물관),36.110804652,129.347430831,public
포스코역사박물관,kculture,museum,경상북도,"경상북도 포항시 남구 동해안로6213번길 14-0  (괴동동,포스코홍보센타)",35.99823859,129.386004712,public
보경사성보박물관,kculture,museum,경상북도,경상북도 포항시 북구 송라면 보경로 523-0  (보경사),36.252985597,129.319204119,public
포스코역사박물관,kculture,museum,경상북도,"경상북도 포항시 남구 동해안로 6261, 포스코본사 (괴동동)",35.998260507,129.382879683,public
안동문화의집,kculture,museum,경상남도,"경상남도 김해시 삼안로 72-0  (안동,안동문화의집)",35.235628503,128.917903828,public
김해문화의집,kculture,museum,경상남도,"경상남도 김해시 김해대로2371번길 24-18  (부원동,김해문화의집)",35.228758014,128.886786641,public
김해시수도박물관,kculture,museum,경상남도,경상남도 김해시 한림면 김해대로 1347-0,35.284773435,128.822600734,public
김해 화포천습지 생태학습관,kculture,museum,경상남도,경상남도 김해시 한림면 한림로 183-300  (김해화포천습지생태학습관),35.310971731,128.788779437,public
대성동고분박물관,kculture,museum,경상남도,경상남도 김해시 가야의길 126  (대성동),35.238088547,128.873239003,public
