sigungu,district_danger
익산시,0.0247
전주시 덕진구,0.0042
전주시 완산구,0.0699
정읍시,0.0042
서귀포시,0.0584
제주시,0.0944
서귀포시,0.0258
제주시,0.0789
공주시,0.0135
당진시,0.036
보령시,0.0463
부여군,0.0323
서산시,0.0806
서천군,0.0219
아산시,0.0949
천안시 동남구,0.0916
천안시 서북구,0.0413
태안군,0.0247
단양군,0.0048
영동군,0.0118
옥천군,0.0101
제천시,0.0236
증평군,0.0365
진천군,0.0143
청주시 상당구,0.0278
청주시 서원구,0.0292
청주시 청원구,0.0079
청주시 흥덕구,0.0126
충주시,0.0301
공주시,0.0197
논산시,0.0053
당진시,0.0278
보령시,0.0351
부여군,0.0101
서산시,0.0587
서천군,0.0149
아산시,0.0334
천안시 동남구,0.0326
천안시 서북구,0.0208
태안군,0.011
홍성군,0.0084
영동군,0.0067
옥천군,0.0051
제천시,0.0205
증평군,0.0169
청주시 상당구,0.1006
청주시 서원구,0.1037
청주시 청원구,0.0118
청주시 흥덕구,0.1219
충주시,0.1025
