contentid,contenttypeid,name,address,addr2,lon,lat,cat1,cat2,cat3,image_url,tel,sub_category,sido
1968521,25,산사에서 21세기 밤하늘의 별과 과학체험을 함께,,,127.1873630896,36.3655131816,C01,C0112,C01120001,http://tong.visitkorea.or.kr/cms/resource/25/214925_image2_1.jpg,,tourism_course,
2390869,25,산세 깊은 계룡산에서 쾌적한 글램핑,,,127.2324620609,36.356873299,C01,C0116,C01160001,http://tong.visitkorea.or.kr/cms/resource/76/2007476_image2_1.JPG,,tourism_course,
1927609,25,산의 정기를 느끼려면 느리게 걸어라,,,127.3789209925,36.0541937896,C01,C0114,C01140001,http://tong.visitkorea.or.kr/cms/resource/04/1598704_image2_1.jpg,,tourism_course,
2519141,25,"삽교호부터 왜목마을까지, 당진 알짜배기 투어",,,126.8233371954,36.8907464135,C01,C0112,C01120001,http://tong.visitkorea.or.kr/cms/resource/14/1892414_image2_1.jpg,,tourism_course,
2513871,25,새빨간 사과의 매력에 빠지는 예산여행 [웰촌],,,126.6979742347,36.7618257555,C01,C0114,C01140001,,,tourism_course,
2372003,25,생태 관광의 제 맛을 보고 싶다면 서천으로!,,,126.7851813652,36.0916736196,C01,C0114,C01140001,http://tong.visitkorea.or.kr/cms/resource/93/2026493_image2_1.jpg,,tourism_course,
1889544,25,서산마애삼존불부터 개심사까지 아라메길을 걷다,,,126.5947171669,36.751897329,C01,C0115,C01150001,http://tong.visitkorea.or.kr/cms/resource/58/187958_image2_1.jpg,,tourism_course,
2666539,25,서산의 핵심 역사&자연 관광 코스!,충청남도 서산시 운산면 마애삼존불길 65-13,,126.6052184154,36.7735366831,C01,C0114,C01140001,http://tong.visitkorea.or.kr/cms/resource/31/2631131_image2_1.jpg,,tourism_course,충청남도
2372001,25,서산인들이 백제의 ‘미소’로 반겨주는 곳,,,126.5488417988,36.7129010308,C01,C0112,C01120001,http://tong.visitkorea.or.kr/cms/resource/12/187912_image2_1.jpg,,tourism_course,
2514074,25,서천 갯벌 매력에 '푸~욱',,,126.6653744482,36.0223406002,C01,C0112,C01120001,http://tong.visitkorea.or.kr/cms/resource/63/2010763_image2_1.jpg,,tourism_course,
2037388,25,서해바다를 붉게 물들이는 아침 해를 품에 안다.,,,126.2987719033,36.7452041206,C01,C0114,C01140001,http://tong.visitkorea.or.kr/cms/resource/85/2031785_image2_1.jpg,,tourism_course,
1937646,25,서해바다에 안기고 체험마을에 머물다,,,126.5173140741,36.5037078993,C01,C0113,C01130001,,,tourism_course,
1938184,25,서해안 해수욕장을 따라 여행하다,,,126.5097752843,36.3138156874,C01,C0112,C01120001,http://tong.visitkorea.or.kr/cms/resource/29/1598829_image2_1.jpg,,tourism_course,
1938173,25,서해안을 지킨 조선시대 윤곽을 따라 여행,,,126.5488417988,36.7129010308,C01,C0115,C01150001,,,tourism_course,
1938430,25,서해의 농촌마을에서 체험의 하루,,,126.8995683606,36.1969357807,C01,C0112,C01120001,http://tong.visitkorea.or.kr/cms/resource/48/212848_image2_1.jpg,,tourism_course,
1889538,25,성흥산성의 사랑나무를 만나러 가는 길,,,126.8983961681,36.3048567412,C01,C0115,C01150001,,,tourism_course,
2371996,25,소중한 백제 문화의 터전 부여,,,126.9202224087,36.2890144903,C01,C0114,C01140001,http://tong.visitkorea.or.kr/cms/resource/40/2366340_image2_1.jpg,,traditional_culture,
2383729,25,솔숲과 갈대밭을 거닐다,,,126.6651300616,36.0209518657,C01,C0114,C01140001,http://tong.visitkorea.or.kr/cms/resource/20/2034920_image2_1.jpg,,tourism_course,
2371994,25,수많은 백제 유물들이 그 빛을 발하는 순간들,,,127.2160876548,36.3892304165,C01,C0112,C01120001,http://tong.visitkorea.or.kr/cms/resource/04/1600004_image2_1.jpg,,tourism_course,
2514417,25,슬로시티 예산 사용법,,,126.8488960772,36.6826486167,C01,C0114,C01140001,http://tong.visitkorea.or.kr/cms/resource/46/795046_image2_1.jpg,,tourism_course,
1937595,25,아기자기한 성당과 정원을 찾아 힐링 여행,,,126.9137681387,36.8823378621,C01,C0114,C01140001,http://tong.visitkorea.or.kr/cms/resource/00/1495600_image2_1.jpg,,tourism_course,
1965856,25,아산 문화유적코스,,,127.0321512148,36.8056015727,C01,C0114,C01140001,,,traditional_culture,
1928021,25,아우내 장터에 울려퍼진 역사의 길,,,127.2231623857,36.7834963946,C01,C0112,C01120001,http://tong.visitkorea.or.kr/cms/resource/71/879971_image2_1.jpg,,tourism_course,
2519145,25,역사 속 인물을 만나는 여정,,,126.7998098847,36.7468848074,C01,C0115,C01150001,http://tong.visitkorea.or.kr/cms/resource/22/2357922_image2_1.jpg,,tourism_course,
1938170,25,역사의 숨결따라 바다를 달리다,,,126.6042685029,36.7734922271,C01,C0113,C01130001,,,tourism_course,
2514424,25,"예산 갈비와 한우, 얼마나 맛있게요?",,,126.8502515936,36.6795628842,C01,C0112,C01120001,http://tong.visitkorea.or.kr/cms/resource/55/1894055_image2_1.jpg,,tourism_course,
1960316,25,예산 땅의 문화가 잠든 곳을 찾아,,,126.6258180263,36.718498939,C01,C0114,C01140001,http://tong.visitkorea.or.kr/cms/resource/00/798000_image2_1.jpg,,traditional_culture,
2037281,25,옛집 담긴 은행나무 마을서 ‘황금빛 향연’,,,126.6750074365,36.4274610386,C01,C0114,C01140001,http://tong.visitkorea.or.kr/cms/resource/35/1858635_image2_1.jpg,,tourism_course,
1889785,25,온천의 고장에서 즐기는 스파와 캠핑,,,126.858915569,36.7502826733,C01,C0116,C01160001,http://tong.visitkorea.or.kr/cms/resource/85/593785_image2_1.jpg,,tourism_course,
1889520,25,외연도 상록수림에서 즐기는 힐링 여행,,,126.508538944,36.3268613923,C01,C0114,C01140001,http://tong.visitkorea.or.kr/cms/resource/74/218974_image2_1.jpg,,tourism_course,
2017552,25,우리나라 최대의 신두리 해안사구 고운 모래를 밟아보자.,,,126.2029752256,36.8431661732,C01,C0114,C01140001,http://tong.visitkorea.or.kr/cms/resource/46/1751646_image2_1.jpg,,tourism_course,
2519140,25,인생샷 남기고 추억 남기고,,,126.785520332,36.819212335,C01,C0112,C01120001,http://tong.visitkorea.or.kr/cms/resource/89/533689_image2_1.jpg,,tourism_course,
2514416,25,"일출과 동백꽃, 서천에서 '빨간 여행'",,,126.4935201987,36.1379050125,C01,C0112,C01120001,http://tong.visitkorea.or.kr/cms/resource/40/2633040_image2_1.jpg,,tourism_course,
1889547,25,천수만의 자연을 체험하다,,,126.5488417988,36.7129010308,C01,C0113,C01130001,,,tourism_course,
1936030,25,천안의 볼거리를 찾아 가족여행,,,127.1633176864,36.7867282918,C01,C0112,C01120001,http://tong.visitkorea.or.kr/cms/resource/10/1784710_image2_1.jpg,,tourism_course,
1937802,25,청정하고 알싸한 청양을 여행하다,,,126.8421099001,36.3965063708,C01,C0114,C01140001,http://tong.visitkorea.or.kr/cms/resource/91/1601691_image2_1.jpg,,tourism_course,
1937637,25,체험이 있는 풍경 길을 가다,,,126.659335231,36.6890667994,C01,C0114,C01140001,http://tong.visitkorea.or.kr/cms/resource/91/797991_image2_1.jpg,,tourism_course,
1968140,25,충남 금산 약초 인삼 쇼핑코스,,,127.519420591,36.0169394054,C01,C0114,C01140001,http://tong.visitkorea.or.kr/cms/resource/08/1962108_image2_1.jpg,,tourism_course,
1965848,25,충남 아산시 웰빙코스,,,127.0165858157,36.7086596789,C01,C0115,C01150001,http://tong.visitkorea.or.kr/cms/resource/71/1495571_image2_1.jpg,,tourism_course,
1892511,25,충남 해안으로 떠나는 겨울 맛 기행,,,126.4710062376,36.537983719,C01,C0112,C01120001,http://tong.visitkorea.or.kr/cms/resource/29/1449529_image2_1.jpg,,tourism_course,
1937621,25,충남의 보물 같은 마을 풍경,,,126.792761474,36.6080784379,C01,C0114,C01140001,,,tourism_course,
1937611,25,충남의 자연에 풍덩 빠져 즐기다,,,126.4528482838,37.0029631036,C01,C0114,C01140001,http://tong.visitkorea.or.kr/cms/resource/43/1908643_image2_1.jpg,,tourism_course,
1937803,25,캠핑에 문화와 예술을 더 하다,충청남도 계룡시 신도안면 용동리 53,,127.2451423707,36.3238523018,C01,C0116,C01160001,,,traditional_culture,충청남도
1938169,25,캠핑을 즐기며 여유롭게 돌아보는 태안,,,126.290277364,36.6725512434,C01,C0116,C01160001,http://tong.visitkorea.or.kr/cms/resource/82/1858582_image2_1.jpg,,tourism_course,
1889789,25,콩밭메는 아낙네~~를 부르며 칠갑산을 오르다,,,126.8841143716,36.3998317198,C01,C0115,C01150001,,,tourism_course,
1889806,25,태안의 가장 아름다운 해변캠핑을 즐기다,,,126.2999656602,36.7671460535,C01,C0116,C01160001,,,tourism_course,
2372005,25,한 박자 쉬어가고 싶을 때 슬로시티 예산으로!,,,126.8484961115,36.6827152692,C01,C0114,C01140001,http://tong.visitkorea.or.kr/cms/resource/02/2026102_image2_1.jpg,,tourism_course,
1889475,25,"한국의 명약, 인삼을 즐기다",,,127.4923949576,36.1299843763,C01,C0114,C01140001,http://tong.visitkorea.or.kr/cms/resource/95/1598695_image2_1.jpg,,tourism_course,
2523251,25,한국의 알프스로 떠나는 청양 여행 [웰촌],,,126.9143308397,36.4097088908,C01,C0114,C01140001,,,tourism_course,
1889550,25,해송숲에서 즐기는 캠핑여행,,,126.5230502068,36.1639803079,C01,C0116,C01160001,http://tong.visitkorea.or.kr/cms/resource/05/1870705_image2_1.jpg,,tourism_course,
2358072,25,300년의 시간을 오감으로 느끼는 하룻밤,,,126.6042685029,36.7734922271,C01,C0112,C01120001,http://tong.visitkorea.or.kr/cms/resource/00/2025300_image2_1.JPG,,tourism_course,
1949308,25,가야의 고대문화가 잠든 고령 땅을 밟다,,,128.2572187514,35.7230665416,C01,C0115,C01150001,http://tong.visitkorea.or.kr/cms/resource/96/1002896_image2_1.jpg,,traditional_culture,
2619120,25,가을여행주간 맞이 '오늘은 예천에서!',경상북도 예천군 예천읍 양궁장길 38,,128.4684133992,36.6346778526,C01,C0112,C01120001,,,tourism_course,경상북도
