contentid,contentTypeId,title,addr1,mapx,mapy,cat1,cat2,cat3
2591809,12,궁동저수지 생태공원,서울특별시 구로구 궁동,126.8293197915,37.5012175047,A01,A0101,A01010500
1606052,12,극락사(서울),서울특별시 중랑구 망우로91길 100 (망우동),127.113296542,37.6047522315,A02,A0201,A02010800
298109,12,금선사(서울),서울특별시 종로구 비봉길 137,126.9534467684,37.6207780461,A02,A0201,A02010800
3082221,12,금암문화공원,서울특별시 은평구 진관동,126.9179965551,37.64440244,A02,A0202,A02020700
2553946,12,금천예술공장,서울특별시 금천구 범안로15길 57,126.8919733235,37.4688834875,A02,A0204,A02040800
2655928,12,기억의 터(일본군 위안부),서울특별시 중구 퇴계로26가길 6,126.9902812673,37.5591608706,A02,A0203,A02030400
2756575,12,긴고랑공원,서울특별시 광진구 긴고랑로 143 (중곡동),127.0910359861,37.5589071568,A02,A0202,A02020700
2946113,12,길상도예,서울특별시 서초구 강남대로39길 15-9 (서초동),127.0324406141,37.48583681,A02,A0203,A02030400
128866,12,길상사(서울),서울특별시 성북구 선잠로5길 68 (성북동),126.9939575925,37.5985980194,A02,A0201,A02010800
3451976,12,길음역롯데캐슬트윈골드상가,"서울특별시 성북구 길음로 11 (길음동, 길음역롯데캐슬트윈골드아파트)",127.0234880845,37.6038534948,A02,A0203,A02030400
3525021,12,꿩고개공원,서울특별시 강서구 방화동,126.8159132446,37.5800525448,A02,A0202,A02020700
1827190,12,나석주의사동상,서울특별시 중구 을지로 66,126.9850482312,37.5655100385,A02,A0205,A02050400
699222,12,낙원동 아구찜 거리,서울특별시 종로구 삼일대로 428,126.9883060491,37.5732314221,A02,A0203,A02030600
2784060,12,난지천공원,서울특별시 마포구 월드컵로 365 (상암동),126.8870625217,37.5725158027,A02,A0202,A02020700
127859,12,난지한강공원,서울특별시 마포구 한강난지로 162 (상암동),126.8851546298,37.5630252055,A02,A0202,A02020700
748018,12,남대문 갈치조림골목,서울특별시 중구 남대문시장길 16-17 (남창동),126.9769408005,37.5597300093,A02,A0203,A02030600
1603336,12,남산 팔각정,서울특별시 중구 예장동 8-1,126.9876206116,37.5516394747,A02,A0205,A02050600
126747,12,남산골한옥마을,서울특별시 중구 퇴계로34길 28 (필동2가),126.9932865315,37.5597775194,A02,A0201,A02010600
126485,12,남산공원(서울),서울특별시 중구 삼일대로 231 (예장동),126.9922311881,37.5556863093,A02,A0202,A02020700
126535,12,남산서울타워,서울특별시 용산구 남산공원길 105,126.9878983791,37.5511089858,A02,A0205,A02050600
2783557,12,남산순환나들길,서울특별시 중구 남산공원길 609 (예장동),126.9866844934,37.5549112997,A01,A0101,A01010500
3067314,12,남산예장공원,서울특별시 중구 주자동,126.9888869118,37.5605217984,A02,A0202,A02020700
3447859,12,남산인권숲,서울특별시 중구 퇴계로26가길 6 (예장동),126.9898035408,37.5588942261,A01,A0101,A01010500
128776,12,남산케이블카,서울특별시 중구 소파로 83,126.9841041137,37.556997122,A02,A0203,A02030400
3082015,12,남태령고개,서울특별시 관악구 남현동,126.9869510439,37.4598001285,A01,A0101,A01010400
2946242,12,내맘대로폰케이스 홍대점,서울특별시 마포구 와우산로19길 21 (서교동),126.9218988345,37.5512466761,A02,A0203,A02030400
298341,12,내원사(서울),서울특별시 성북구 보국문로 262-151 내원사,126.9951622409,37.6266725544,A02,A0201,A02010800
2763685,12,노들나루공원,서울특별시 동작구 노량진로 247 (본동),126.9534914781,37.5130461243,A02,A0202,A02020700
2638475,12,노들섬,서울특별시 용산구 양녕로 445 (이촌동),126.9580520415,37.5177178854,A02,A0203,A02030400
3067187,12,노량진컵밥거리,서울특별시 동작구 노량진로 174 (노량진동),126.9453227635,37.5135542529,A02,A0203,A02030600
2774274,12,노원 불빛정원,서울특별시 노원구 화랑로 608 (공릉동),127.0931061506,37.6245051267,A01,A0101,A01010700
2733971,12,노을공원(서울),서울특별시 마포구 상암동,126.8755135312,37.5740543063,A02,A0202,A02020700
3007012,12,노해체육공원,서울특별시 노원구 공릉로22길 1 (공릉동),127.0783159455,37.6205219892,A02,A0202,A02020700
3453040,12,녹번서공원,서울특별시 은평구 서오릉로 52 (녹번동),126.9239887769,37.6055181816,A01,A0101,A01010500
2764354,12,다락원체육공원,서울특별시 도봉구 창포원로 45 (도봉동),127.0472806389,37.6914909527,A02,A0202,A02020700
2392535,12,다이나믹 메이즈 인사동,서울특별시 종로구 인사동길 12 (인사동),126.9872367386,37.5719398862,A02,A0202,A02020600
299978,12,달마사(서울),서울특별시 동작구 서달로 50-26 (흑석동),126.9622938579,37.4987201685,A02,A0201,A02010800
2741117,12,달맞이근린공원,서울특별시 성동구 금호동4가,127.021015024,37.5434521362,A02,A0202,A02020700
126803,12,당고개순교성지,서울특별시 용산구 청파로 139-26,126.9669951674,37.5355770817,A02,A0201,A02010900
2402981,12,대림동 차이나타운,서울특별시 영등포구 대림동,126.8975138236,37.4924530714,A02,A0203,A02030600
2753103,12,대림어린이공원,서울특별시 영등포구 대림로 106 (대림동),126.9032244523,37.491122772,A02,A0202,A02020700
1602451,12,대모산도시자연공원,서울특별시 강남구 일원동,127.081014136,37.4800522436,A01,A0101,A01010500
300076,12,대성사(서울),서울특별시 서초구 남부순환로328길 49 (서초동),127.0134731649,37.4763181306,A02,A0201,A02010800
1605948,12,대원군별장(석파정),서울특별시 종로구 창의문로11길 4-1 (부암동),126.96277443,37.5948701151,A02,A0201,A02010700
2733970,12,대치유수지체육공원,서울특별시 강남구 역삼로107길 20-30 (대치동),117.9925662504,19.69442748,A02,A0202,A02020700
126534,12,대학로,서울특별시 종로구 대학로 104 (동숭동),127.0023878907,37.5805669329,A02,A0203,A02030600
127015,12,대한성공회 서울주교좌성당,서울특별시 중구 세종대로21길 15 (정동),126.9760378872,37.5674235431,A02,A0201,A02010900
2373223,12,대한제국군 서울시가 전투지,서울특별시 중구 세종대로 39,126.97375773,37.5607020615,A02,A0201,A02010700
3456362,12,대현문화공원,서울특별시 서대문구 이화여대1길 10 (대현동),126.9449298864,37.5576991161,A02,A0202,A02020700
126509,12,덕수궁,서울특별시 중구 세종대로 99 (정동),126.9765906796,37.5651071556,A02,A0201,A02010100
1605981,12,덕수궁 대한문,서울특별시 중구 세종대로 99 (정동),126.9765906796,37.5651071556,A02,A0201,A02010300
129186,12,덕수궁 돌담길,서울특별시 중구 세종대로 지하 101,126.9748935853,37.5660820124,A02,A0203,A02030600
3023349,12,덕수궁돈덕전,서울특별시 중구 세종대로 99 (정동),126.9765906796,37.5651071556,A02,A0201,A02010700
1955511,12,도봉서원(서울),서울특별시 도봉구 도봉산길 89 (도봉동),127.0307045282,37.6860746178,A02,A0201,A02010700
126502,12,도선사(서울),서울특별시 강북구 도선사길 278 (우이동),126.9911089898,37.6563162556,A02,A0201,A02010800
2611730,12,도시농업공원,서울특별시 양천구 신월동,126.8262419697,37.5128105466,A02,A0202,A02020700
750863,12,도안사,서울특별시 노원구 덕릉로145길 97 (상계동),127.0850912761,37.6845868836,A02,A0201,A02010800
