Sido,MAE
충청북도,34563.31012562628
울산광역시,35204.755036304356
대전광역시,36879.57986706295
광주광역시,36879.992455952146
경상북도,37321.425159057784
경상남도,37348.4441837489
전라남도,37843.387891618324
제주특별자치도,39415.44611116867
서울특별시,40617.93345695544
인천광역시,44451.612567280834
경기도,44493.63294487464
강원특별자치도,46323.20628674804
대구광역시,46732.39557104917
전북특별자치도,48450.6308364757
세종특별자치시,49027.66267916773
부산광역시,50473.73863972546
충청남도,50802.08996714221
