class,precision,recall,f1-score,support
안전(0),0.9969418960244648,1.0,0.998468606431853,652.0
보통(1),1.0,0.9976171564733916,0.9988071570576541,1259.0
위험(2),0.9978165938864629,1.0,0.9989071038251366,457.0
accuracy,0.9987331081081081,0.9987331081081081,0.9987331081081081,0.9987331081081081
macro avg,0.9982528299703093,0.9992057188244639,0.9987276224382146,2368.0
weighted avg,0.9987366130126961,0.9987331081081081,0.9987332299734974,2368.0
