sido,sigungu,crash_count,death_count,severe_count,injury_count,danger_score
경남,밀양시,36.0,1.0,29.0,8.0,0.0284
경남,사천시,23.0,1.0,22.0,0.0,0.0185
경남,양산시,24.0,0.0,18.0,6.0,0.0169
경남,진주시,77.0,0.0,81.0,0.0,0.0654
경남,창원시 마산합포구,89.0,2.0,90.0,3.0,0.0775
경남,창원시 마산회원구,31.0,1.0,33.0,3.0,0.0278
경남,창원시 성산구,50.0,0.0,47.0,3.0,0.0396
경남,창원시 의창구,28.0,2.0,26.0,0.0,0.0236
경남,창원시 진해구,29.0,3.0,27.0,1.0,0.0261
경남,통영시,111.0,4.0,107.0,1.0,0.0955
경남,하동군,7.0,0.0,7.0,0.0,0.0042
경남,함안군,28.0,2.0,28.0,0.0,0.0247
경남,합천군,23.0,2.0,21.0,0.0,0.0194
경북,경산시,11.0,0.0,8.0,4.0,0.007
경북,경주시,9.0,0.0,3.0,5.0,0.0039
경북,구미시,4.0,0.0,2.0,1.0,0.0008
경북,김천시,39.0,0.0,39.0,0.0,0.0312
경북,상주시,37.0,0.0,25.0,11.0,0.0258
경북,안동시,76.0,4.0,73.0,1.0,0.0666
경북,영주시,49.0,0.0,51.0,0.0,0.0407
경북,영천시,44.0,4.0,40.0,0.0,0.0388
경북,예천군,14.0,0.0,15.0,0.0,0.0107
경북,포항시 남구,89.0,3.0,62.0,20.0,0.068
경북,포항시 북구,96.0,4.0,76.0,13.0,0.0772
경상남도,거제시,132.0,1.0,64.0,69.0,0.0921
경상남도,거창군,34.0,0.0,9.0,23.0,0.0194
경상남도,고성군,8.0,1.0,7.0,0.0,0.0059
경상남도,김해시,147.0,1.0,91.0,52.0,0.1067
경상남도,남해군,7.0,0.0,7.0,0.0,0.0042
경상남도,밀양시,22.0,1.0,19.0,3.0,0.0174
경상남도,사천시,39.0,0.0,20.0,19.0,0.0258
경상남도,양산시,46.0,1.0,20.0,20.0,0.0295
경상남도,의령군,4.0,0.0,1.0,2.0,0.0006
경상남도,진주시,50.0,1.0,40.0,12.0,0.0396
경상남도,창녕군,26.0,0.0,20.0,6.0,0.0185
경상남도,창원시 마산합포구,46.0,1.0,43.0,4.0,0.0379
경상남도,창원시 마산회원구,22.0,1.0,17.0,5.0,0.0169
경상남도,창원시 성산구,25.0,1.0,14.0,9.0,0.0171
경상남도,창원시 의창구,95.0,3.0,48.0,40.0,0.0674
경상남도,창원시 진해구,36.0,0.0,19.0,18.0,0.0242
경상남도,통영시,72.0,2.0,52.0,16.0,0.0551
경상남도,함안군,4.0,0.0,2.0,2.0,0.0011
경상남도,함양군,4.0,0.0,1.0,2.0,0.0006
경상북도,경산시,122.0,5.0,55.0,63.0,0.0882
경상북도,경주시,302.0,6.0,163.0,120.0,0.2169
경상북도,구미시,87.0,2.0,39.0,42.0,0.0593
경상북도,김천시,71.0,2.0,49.0,20.0,0.0542
경상북도,문경시,14.0,1.0,6.0,6.0,0.0087
경상북도,상주시,275.0,4.0,123.0,146.0,0.1913
경상북도,안동시,53.0,0.0,17.0,31.0,0.0315
경상북도,영덕군,7.0,0.0,7.0,0.0,0.0042
경상북도,영주시,124.0,3.0,72.0,49.0,0.0916
경상북도,의성군,4.0,0.0,4.0,0.0,0.0017
경상북도,칠곡군,32.0,1.0,14.0,13.0,0.0202
경상북도,포항시 남구,165.0,3.0,54.0,105.0,0.1087
경상북도,포항시 북구,238.0,6.0,132.0,105.0,0.1772
광주,광산구,36.0,2.0,28.0,6.0,0.0287
광주,남구,27.0,1.0,24.0,3.0,0.0216
광주,동구,21.0,2.0,19.0,0.0,0.0177
광주,북구,73.0,2.0,71.0,6.0,0.0632
광주,서구,20.0,0.0,18.0,2.0,0.0146
광주광역시,광산구,142.0,1.0,48.0,89.0,0.0916
광주광역시,남구,29.0,0.0,18.0,13.0,0.0202
광주광역시,동구,36.0,0.0,10.0,26.0,0.0213
광주광역시,북구,136.0,4.0,53.0,72.0,0.0921
광주광역시,서구,40.0,0.0,17.0,24.0,0.0258
대구,남구,29.0,4.0,25.0,0.0,0.0261
대구,달서구,155.0,6.0,102.0,42.0,0.1194
대구,동구,90.0,1.0,67.0,21.0,0.0685
대구,북구,124.0,9.0,77.0,35.0,0.0989
대구,서구,59.0,0.0,33.0,24.0,0.0402
대구,수성구,86.0,1.0,62.0,24.0,0.0654
대구,중구,93.0,2.0,79.0,25.0,0.0787
대구광역시,남구,175.0,4.0,72.0,97.0,0.1208
대구광역시,달서구,959.0,11.0,349.0,521.0,0.6256
대구광역시,달성군,33.0,0.0,14.0,22.0,0.0216
대구광역시,동구,378.0,6.0,152.0,191.0,0.252
대구광역시,북구,983.0,14.0,358.0,508.0,0.6379
대구광역시,서구,583.0,3.0,206.0,313.0,0.3699
