"시점",자전거 주차장,자전거 주차장,자전거 보관함,자전거 보관함,자전거 거치대,자전거 거치대
"시점",지점(개소),거치대수(대),지점(개소),거치대수(대),지점(개소),거치대수(대)
"2024",30,5371,6,130,4810,120479
