start_lat,start_lon,end_lat,end_lon,length_km,width_m,road_type,is_official,is_wide_road,safety_index
,,,,0.31,2.2,,,1,0.1292
,,,,0.69,1.5,,,0,0.0782
,,,,2.91,1.5,,,0,0.0877
,,,,3.13,1.5,,,0,0.0887
,,,,2.51,1.5,,,0,0.086
,,,,0.29,1.8,,,0,0.0991
37.61175734,127.0296414,37.61175734,127.0296414,0.24,1.2,,,0,0.0537
37.61232898,127.0290375,37.60935341,127.0249739,0.39,1.2,,,0,0.0543
37.60784662,127.0256314,37.61084536,127.0270183,0.46,1.2,,,0,0.0546
37.61178261,127.0238796,37.60784662,127.0256314,0.46,1.2,,,0,0.0546
37.60784662,127.0256314,37.60689004,127.0263731,0.32,1.2,,,0,0.054
37.60689004,127.0263731,37.60784662,127.0256314,0.32,1.2,,,0,0.054
37.5826996,127.0291277,37.5866277,127.0289451,0.35,3.5,,,1,0.2273
37.62041504,127.0498681,37.61747619,127.0522071,0.4,1.6,,,0,0.0845
37.61747619,127.0522071,37.62041504,127.0498681,0.4,1.6,,,0,0.0845
37.61666802,127.0490186,37.61942694,127.0537727,0.5,2.2,,,1,0.1301
37.61942694,127.0537727,37.61666802,127.0490186,0.5,1.5,,,0,0.0774
37.62190944,127.0515453,37.61754444,127.0550821,0.55,1.5,,,0,0.0776
37.62190944,127.0515453,37.61754444,127.0550821,0.55,1.5,,,0,0.0776
37.6182874,127.0465041,37.62190944,127.0515453,0.6,1.5,,,0,0.0778
,,,,1.62,1.5,,,0,0.0822
,,,,0.94,2.0,,,1,0.1169
,,,,0.99,2.0,,,1,0.1171
,,,,1.46,2.0,,,1,0.1191
,,,,0.97,2.0,,,1,0.117
,,,,0.21,2.0,,,1,0.1138
,,,,2.14,1.5,,,0,0.0844
,,,,0.99,1.5,,,0,0.0795
,,,,1.6,1.5,,,0,0.0821
,,,,3.44,1.5,,,0,0.09
,,,,0.92,1.5,,,0,0.0792
,,,,0.62,1.5,,,0,0.0779
,,,,0.51,1.5,,,0,0.0774
,,,,2.22,1.5,,,0,0.0848
,,,,0.32,1.0,,,0,0.039
,,,,1.13,1.5,,,0,0.0801
,,,,0.84,1.5,,,0,0.0788
,,,,0.34,1.5,,,0,0.0767
,,,,0.25,1.5,,,0,0.0763
,,,,5.44,1.1,,,0,0.0685
,,,,0.83,1.5,,,0,0.0788
,,,,0.82,1.2,,,0,0.0562
,,,,0.49,1.5,,,0,0.0773
,,,,2.13,1.5,,,0,0.0844
