x,y,distance,install_type,is_24h,has_restricted_hours
126.950519888,37.544413236,3120.858685,,True,False
127.05074346,37.487110802,10825.158796,,False,False
127.05327,37.66581,12848.652157,,False,False
127.051807338,37.516347048,9072.725551,,False,False
127.080634614,37.490792895,12885.832014,,False,False
127.051891991,37.476979346,11643.924741,,False,False
127.051700568,37.476956085,11632.985995,,False,False
127.063821988,37.493735241,11358.634722,,False,False
127.041895323,37.517161365,8199.887335,,False,False
127.040889898,37.516884237,8133.767192,,False,False
127.041060171,37.517489935,8112.642965,,False,False
127.041661673,37.517434809,8165.074625,,False,False
127.03201387,37.489483036,9413.080458,,False,False
127.030951831,37.491767153,9167.391981,,False,False
127.024165775,37.505836139,7647.132772,,False,False
127.022611996,37.509086023,7299.369883,,False,False
127.046636488,37.493344923,10094.026265,,False,False
127.028014683,37.498544945,8454.00014,,False,False
127.105318105,37.489324775,15053.640708,,False,False
127.105082236,37.489274412,15035.685881,,False,False
127.028404345,37.497747672,8540.470071,,False,False
127.029151949,37.495345151,8774.774379,,False,False
127.078120396,37.493328599,12534.944506,,False,False
127.067784613,37.508134381,10864.357146,,False,False
127.118255068,37.469495577,17195.625292,,False,False
127.103966971,37.47500885,15702.670827,,False,False
127.156973348,37.561039274,18230.488958,,False,False
127.050693755,37.500601724,9906.661468,,False,False
126.859376898,37.495407277,13425.284583,수동식|,False,False
127.072174064,37.491885318,12134.394168,,False,False
127.058017406,37.485075246,11487.140663,,False,False
127.055561244,37.485829936,11257.611578,,False,False
127.06900388,37.489660952,12017.813078,,False,False
127.058256301,37.484844039,11520.384748,,False,False
127.068272816,37.489667297,11960.134068,,False,False
127.068068649,37.489763447,11938.173057,,False,False
127.063811464,37.483143076,12043.199696,,False,False
127.066198909,37.489353237,11818.426764,,False,False
127.066227298,37.489334187,11821.830422,,False,False
127.06610551,37.489366414,11810.36243,기타|태양광|,False,False
127.066378713,37.488824347,11865.857419,,False,False
127.065668572,37.488881454,11807.431905,,False,False
127.047996212,37.480536156,11119.506549,,False,False
127.055532983,37.482485777,11490.789709,,False,False
127.079101212,37.493675742,12596.538471,,False,False
127.068447283,37.48785169,12087.564964,,False,False
127.069335703,37.488756294,12100.0304,,False,False
127.068460305,37.487554289,12107.367743,,False,False
127.069777308,37.487692043,12201.009992,,False,False
127.051749205,37.479700919,11431.971742,,False,False
127.080429698,37.49077245,12870.155867,기타|태양광|,False,False
127.066419905,37.486834742,11996.294143,,False,False
127.090819195,37.623395512,13036.433315,기계식|,False,False
127.070420465,37.631441838,11701.092304,기계식|,False,False
127.076601354,37.627198586,11983.333919,기계식|,False,False
127.035726052,37.615557247,7979.658108,기계식|,False,False
127.03603606,37.590275598,6667.287689,수동식|,False,False
126.972730457,37.541515259,2271.983559,,False,False
127.07494449,37.638794,12498.674722,기계식|,False,False
127.02632972,37.613356685,7132.630762,기계식|,False,False
127.021919727,37.617273255,7107.921681,기계식|,False,False
127.023865357,37.618238795,7309.802837,기계식|,False,False
127.030014899,37.618319782,7742.516714,기계식|,False,False
127.051595107,37.652309874,11698.628056,,False,False
127.067210472,37.532121892,9790.256514,기타|전기식|,False,False
127.037109987,37.613933508,7983.751168,기계식|,False,False
127.028770519,37.625174018,8153.583585,기계식|,False,False
127.018863943,37.62901881,7847.839216,,False,False
