visit_area_nm,x_coord,y_coord,attraction_score_mean,attraction_score_std,visit_count,attraction_score_norm
CGV 스타필드 시티 위례,127.1483974,37.4800367,4.2653,0.0,1,0.6666
CGV 신촌 아트레온,126.9401982,37.5566387,4.4412,0.0,1,0.7464
CGV 역곡,126.8110669,37.4842964,4.6349,0.0,1,0.8343
CGV 연남,126.9258692,37.5576758,4.1541,0.0,1,0.6161
CGV 영등포,126.9027564,37.5175176,4.4464,0.2503,2,0.7488
CGV 왕십리,127.0379502,37.5617835,4.1239,0.0,1,0.6024
CGV 용산 아이파크몰,126.96395079999999,37.5297517,4.4282,0.2774,5,0.7405
CGV 판교,127.1118901,37.3932442,4.2667,0.2035,2,0.6672
CGV 평택 고덕,127.0694373,37.0336715,4.6215,0.0,1,0.8282
CGV 피카디리 1958,126.9913133,37.5709938,4.2177,0.0316,2,0.645
CGV 홍대,126.9226246,37.5565024,4.6628,0.0,1,0.847
CGV 화성 봉담,126.9555183,37.2190609,4.1009,0.0,1,0.5919
CN 스파,126.9983263,37.4997934,4.5578,0.0,1,0.7993
COS 퀼티드 백 팝업스토어,126.9892379,37.573975,4.2727,0.1186,2,0.67
COS 한남점,127.0009776,37.5377545,4.1889,0.0,1,0.6319
CU ATM 영등포 라이프점,126.9120818,37.5174565,4.1893,0.0,1,0.6321
CU E 별내 휴게소 포천 방향점,127.1306573,37.6912385,4.3136,0.0,1,0.6885
CU 가평 쁘띠프랑스 점,127.4913367,37.7150387,3.7493,0.0,1,0.4324
CU 강서 마곡점,126.8383674,37.5715106,4.1404,0.0,1,0.6099
CU 남양 뉴타운 점,126.8259896,37.2014827,3.8339,0.0,1,0.4708
CU 대야 센트럴점,126.791293,37.4407083,4.0695,0.0,1,0.5777
CU 마장호수 유원지점,126.9405745,37.7764061,4.2867,0.0,1,0.6763
CU 마포 DMC 점,126.8978976,37.576756,4.1657,0.0,1,0.6214
CU 문래남부점,126.8891419,37.5173975,4.1269,0.0,1,0.6038
CU 보라 해링턴점,127.1148476,37.2552636,4.3436,0.0,1,0.7021
CU 부암 러키점,126.9657715,37.5934041,3.9475,0.0,1,0.5224
CU 성남 화인 점,127.1344388,37.4432813,4.0832,0.0,1,0.5839
CU 양평 쉬자 파크 점,127.5194577,37.4995839,3.7299,0.0,1,0.4236
CU 여의영무예다음점,127.0707562,35.8699716,4.3191,0.0,1,0.691
CU 여주 번 도리점,127.5978786,37.2980403,3.713,0.0,1,0.4159
CU 역삼 강남점,127.0291861,37.499725,3.8771,0.0,1,0.4904
CU 용인 에버랜드점,127.2144792,37.2884716,3.8134,0.0,1,0.4615
CU 잠실 갤러리아점,127.0943947,37.5116274,4.1838,0.0,1,0.6296
CU 정발산점,126.7765862,37.6741726,4.0461,0.0,1,0.5671
CU 조종 승리점,127.3499241,37.8212448,3.77,0.0,1,0.4418
CU 종로 5가점,127.0000498,37.5711599,3.9214,0.0,1,0.5105
CU 파주 헤이리점,126.6963122,37.7876629,4.3603,0.0,1,0.7097
CU 포천 송학리점,127.2503947,37.8056921,3.8293,0.0,1,0.4687
CU 하남 산곡점,127.2348302,37.4905248,4.0364,0.0,1,0.5627
CU 홍대 3호점,126.9290317,37.5549783,4.0142,0.0,1,0.5526
CU 화성 마도 공단로점,126.7992771,37.2024911,4.2295,0.0,1,0.6503
Cafe913잣 자라 빵,127.541952,37.832881,4.124,0.0,1,0.6025
DC 만물 백화점,127.0514632,37.7408505,3.819,0.0,1,0.464
DDP 디자인 스토어,127.0094739,37.5660058,4.6002,0.0,1,0.8186
DMC 두산위브 더 퍼스트 아파트,126.8971364,37.6092136,3.2148,0.0005,2,0.1899
DMZ 두루미 평화 타운,127.2822567,38.266899,4.0212,0.0,1,0.5558
DMZ 마루 캠핑장,127.019313,38.1349165,4.6139,0.3782,6,0.8248
DMZ 생생 누리,126.7399764,37.8903345,3.7751,0.0,1,0.4441
DMZ 장단콩 두부마을,126.6896479,37.7861302,4.2036,0.0,1,0.6386
Dmz lounge,126.6835793,37.8004014,3.944,0.0,1,0.5207
ETC 키트 마르멜로,127.0155664,37.2850391,4.3228,0.0,1,0.6927
G 타워,126.6342685,37.3960581,4.3194,0.1484,2,0.6911
G 타워 전망대,126.63420070000001,37.396085925,4.3173,0.0805,4,0.6902
GLGK,126.9816316,37.5570759,4.2079,0.0,1,0.6405
GS 더 프레시 송도캠퍼스점,126.6650295,37.3871049,4.1431,0.0,1,0.6111
GS 더 프레시 수원 팔달점,127.0134951,37.2677862,4.1977,0.0,1,0.6359
GS 더 프레시 인천 당하점,126.6756385,37.5925795,4.1967,0.0,1,0.6354
GS 더 프레시 포천점,127.2058133,37.9004863,4.1585,0.0,1,0.6181
GS25 가평 산 유점,127.5124655,37.7467572,3.775,0.0,1,0.4441
GS25 강남 청담점,127.0490797,37.5188467,3.7761,0.0,1,0.4446
