키,특구 명칭,관할시군구,주소,행정 시,행정 구,행정 동,지정고시일,면적(㎢),연락처,관련홈페이지,홈페이지 주소,시설현황,위치도
BE_IW02-0001,이태원관광특구,서울특별시 용산구,용산구 이태원로 인근,서울특별시,용산구,"이태원1동, 한남동",1997-09-29,0.38,02-2199-7254,용산구_분야별 정보_문화/전통/관광,https://yongsan.go.kr/portal/main/contents.do?menuNo=200276, 미술관  세계음식거리 해밀턴호텔 앤티크가구거리 등 , http://data.seoul.go.kr/contents/home/yongsan_stsr.png
BE_IW02-0002,명동남대문북창동다동무교동 관광특구,서울특별시 중구,"명동, 회현동, 소공동, 무교동, 다동, 청계천 각 일부 지역",서울특별시,중구,"소공동, 회현동, 명동",2000-03-30 (2012-12-27),0.87,02-3396-4622,중구_문화관광,http://www.junggu.seoul.kr/tour/content.do?cmsid=14910, 남대문 시장 면세점 한옥마을 N서울타워 명동상가 등  , http://data.seoul.go.kr/contents/home/junggu_stsr.png
BE_IW02-0003,동대문패션타운 관광특구,서울특별시 중구,"중구 을지로 3.4.5, 광희동, 신당 1동 각 일부 지역",서울특별시,중구,"광희동, 신당동",2002-05-23,0.58,02-3396-4622,중구_문화관광,http://www.junggu.seoul.kr/tour/content.do?cmsid=14912,동대문 역사문화공원 동대문디자인플라자 청계천 충무아트센터 복합쇼핑몰과 의류도매상가 재래시장 , http://data.seoul.go.kr/contents/home/dft_stsr.png
BE_IW02-0004,종로청계 관광특구,서울특별시 종로구,신문로1가~창신동,서울특별시,종로구,"종로1.2.3.4가동, 종로5.6가동, 창신1동",2006-03-30,0.54,02-2148-1863,종로청계관광특구,http://www.jongno.go.kr/chTownMain.do, 고궁 미술관 박물관 창덕궁과 종묘 등 문화 시설 및 세계문화유산  등 , http://data.seoul.go.kr/contents/home/jongno_stsr.png
BE_IW02-0005,잠실관광특구,서울특별시 송파구,롯데월드~석촌호수~방이맛골~올림픽공원,서울특별시,송파구,"잠실3동, 잠실6동, 방이2동, 오륜동",2012-03-15,2.31,02-2147-2116,송파구_문화관광,https://songpa.go.kr/culture/contents.do?key=3823&,  롯데월드타워 석촌호수 올림픽공원 카페 골목 한성백제문화 박물관 몽촌토성 등 , http://data.seoul.go.kr/contents/home/songpa_stsr.png
BE_IW02-0006,강남마이스 관광특구,서울특별시 강남구,강남구 삼성동 무역센터 일대,서울특별시,강남구,삼성1동,2014-12-18,0.19,02-3423-5535,강남구_분야별_문화관광,https://www.gangnam.go.kr/board/B_000733/1061734/view.do?mid=ID02_010407,코엑스전시컨벤션센터 아쿠아리움 도심공항터미널 등 , http://data.seoul.go.kr/contents/home/gangnam_stsr.png
,홍대 문화예술 관광특구,서울특별시 마포구,마포구 홍대 일대,서울특별시,마포구,"서교동, 동교동, 합정동, 상수동",2021-12-02,1.13,02-3153-8653,,,"홍대 걷고싶은 거리, 홍통거리, 경의선숲길, 공연장 등",
