start_lat,start_lon,end_lat,end_lon,length_km,width_m,road_type,is_official,is_wide_road,safety_index,tourist_count,cultural_count,leisure_count,facility_count,tourism_score,district_danger,road_attr_score,safety_score,final_score,tourism_score_v2,final_score_v2
37.61460565,127.0657239,37.60626414,127.0483266,1.6,1.5,,,0,0.0821,1,3,1,41,0.2046267553584627,0.253623188405797,0.1209459892705238,0.4965756154022691,0.3797960713847465,0.204627,0.379796
37.59472384,127.0381204,37.60370101,127.0401283,1.3,1.6,,,0,0.0883,4,4,0,17,0.2910716925351072,0.253623188405797,0.1292145254023553,0.49882366463958,0.4157228757977909,0.39063,0.455546
37.60370101,127.0401283,37.59427959,127.0369007,1.3,1.6,,,0,0.0883,4,5,0,20,0.3209164818920917,0.253623188405797,0.1292145254023553,0.49882366463958,0.4276607915405847,0.411522,0.463903
37.62046473,127.0491616,37.61898673,127.0465289,0.3,1.5,,,0,0.0765,1,1,1,2,0.0849371766444937,0.253623188405797,0.1101096458417936,0.4881413189517926,0.326859662028873,0.084937,0.32686
37.6182874,127.0465041,37.61666802,127.0490186,1.2,1.5,,,0,0.0804,1,1,1,1,0.0831189948263119,0.253623188405797,0.1176117297539914,0.4944751575781692,0.3299326924774263,0.083119,0.329933
37.61680428,127.0496098,37.62144228,127.0463268,0.9,1.5,,,0,0.0791,1,1,1,3,0.0867553584626755,0.253623188405797,0.1151110351165922,0.4935087599833397,0.330807399375074,0.086755,0.330807
37.6182874,127.0465041,37.61927632,127.0448898,0.2,1.1,,,0,0.046,1,1,0,1,0.0668588322246858,0.253623188405797,0.0661991578857374,0.4742605967164922,0.3112998909197697,0.066859,0.3113
37.58304035,127.0291216,37.58596858,127.0294962,3.5,3.5,,,1,0.2408,2,6,0,10,0.2458240946045824,0.253623188405797,0.352168337358668,0.5416902633035627,0.4233437958239706,0.245824,0.423344
37.58841771,127.018643,37.58998021,127.0162155,0.3,2.2,,,1,0.1292,4,5,0,11,0.3045528455284553,0.253623188405797,0.185494261226409,0.5125161445059634,0.4293308249149601,0.399907,0.467472
37.59472384,127.0381204,37.59881357,127.0401781,0.81,1.5,,,0,0.0787,4,3,0,14,0.2612269031781227,0.253623188405797,0.1143608267253724,0.4929241583442724,0.4002452562778125,0.422139,0.46461
37.61460565,127.0657239,37.60814014,127.0667131,0.65,1.5,,,0,0.078,1,1,1,27,0.1303917220990391,0.253623188405797,0.1130271229187594,0.4911502211044379,0.3468468215022784,0.130392,0.346847
37.61175734,127.0296414,37.61175734,127.0296414,0.24,1.2,,,0,0.0537,0,0,0,1,0.0018181818181818,0.253623188405797,0.0773018146066215,0.4784669009423596,0.2878074132926885,0.215343,0.373217
37.61232898,127.0290375,37.60935341,127.0249739,0.39,1.2,,,0,0.0543,2,0,0,2,0.0849371766444937,0.253623188405797,0.0785521619253211,0.4791725632713992,0.321478408620637,0.273184,0.396777
37.60784662,127.0256314,37.61084536,127.0270183,0.46,1.2,,,0,0.0546,2,0,0,5,0.0903917220990391,0.253623188405797,0.0791356573407143,0.4794212743195462,0.3238094534313434,0.277344,0.39859
37.61178261,127.0238796,37.60784662,127.0256314,0.46,1.2,,,0,0.0546,2,0,0,6,0.092209903917221,0.253623188405797,0.0791356573407143,0.4794212743195462,0.324536726158616,0.278792,0.39917
37.60784662,127.0256314,37.60689004,127.0263731,0.32,1.2,,,0,0.054,2,0,0,10,0.0994826311899482,0.253623188405797,0.0779686665099279,0.4790498777892898,0.3272229791495532,0.269138,0.395085
37.60689004,127.0263731,37.60784662,127.0256314,0.32,1.2,,,0,0.054,2,0,0,10,0.0994826311899482,0.253623188405797,0.0779686665099279,0.4790498777892898,0.3272229791495532,0.269138,0.395085
37.5826996,127.0291277,37.5866277,127.0289451,0.35,3.5,,,1,0.2273,2,6,0,11,0.2476422764227642,0.253623188405797,0.3259110436659756,0.5374916884445629,0.4215519236358434,0.247642,0.421552
37.62041504,127.0498681,37.61747619,127.0522071,0.4,1.6,,,0,0.0845,1,1,1,3,0.0867553584626755,0.253623188405797,0.1217124414901575,0.4893235557980309,0.3282962768638887,0.086755,0.328296
