start_lat,start_lon,end_lat,end_lon,length_km,width_m,road_type,is_official,is_wide_road,safety_index,tourist_count,cultural_count,leisure_count,facility_count
37.32640352,126.9430357,37.3247877,126.9425536,0.1,4.0,자전거보행자겸용도로,Y,1,0.2638,0,0,0,0
37.32587274,126.9421544,37.32640352,126.9430357,0.12,4.0,자전거보행자겸용도로,Y,1,0.2639,0,0,0,0
37.32782674,126.9387765,37.32625688,126.9400354,1.23,4.0,자전거보행자겸용도로,Y,1,0.2687,0,0,0,0
37.3262506,126.9373024,37.3255027,126.9394622,0.64,4.0,자전거보행자겸용도로,Y,1,0.2661,0,0,0,0
37.32383712,126.9351796,37.3222598,126.9448125,1.6,2.0,자전거보행자겸용도로,Y,1,0.1197,0,0,0,0
37.32508903,126.9367035,37.32366433,126.9465518,1.28,3.0,자전거보행자겸용도로,Y,1,0.1936,0,0,0,0
37.33538302,126.9077457,37.35443607,126.8967938,2.37,3.0,자전거보행자겸용도로,Y,1,0.1983,2,0,0,0
37.31978738,126.8872062,37.32832781,126.9171789,3.73,2.0,자전거보행자겸용도로,Y,1,0.1289,2,0,0,0
37.33028283,126.9153444,37.32882956,126.9166121,0.19,2.0,자전거보행자겸용도로,Y,1,0.1137,0,0,0,0
37.32652787,126.9193241,37.32832781,126.9171789,0.3,3.0,자전거보행자겸용도로,Y,1,0.1894,0,0,0,0
37.34110908,126.9378039,37.33630959,126.9351935,2.0,1.5,자전거보행자겸용도로,Y,0,0.0838,0,0,0,0
37.34414801,126.9538537,37.34597581,126.9490649,0.5,1.5,자전거보행자겸용도로,Y,0,0.0774,0,1,0,0
37.34953381,126.9572294,37.34441635,126.9572653,1.4,2.0,자전거보행자겸용도로,Y,1,0.1189,0,1,0,0
37.36596056,126.9539627,37.35662216,126.9599355,1.36,1.5,자전거보행자겸용도로,Y,0,0.0811,0,0,0,0
37.36006897,126.949241,37.36430987,126.9579042,0.9,2.0,자전거보행자겸용도로,Y,1,0.1167,0,0,0,0
37.36042881,126.9283859,37.36019041,126.9243504,0.45,2.0,자전거보행자겸용도로,Y,1,0.1148,2,1,0,0
37.739721,127.436727,37.745165,127.43601,0.55,3.0,자전거우선도로,Y,1,0.1905,0,0,0,0
37.731484,127.426524,37.739721,127.436727,1.74,2.0,자전거보행자겸용도로,Y,1,0.1203,0,0,0,0
37.733179,127.419547,37.731484,127.426524,0.63,5.0,자전거우선도로,Y,1,0.3414,0,0,0,0
37.733152,127.413653,37.733179,127.419547,0.61,4.0,자전거보행자겸용도로,Y,1,0.266,0,0,0,0
37.697195,127.385693,37.733152,127.413653,5.4,2.5,자전거보행자겸용도로,Y,1,0.1737,2,1,0,0
37.695039,127.384785,37.697195,127.385693,0.29,3.0,자전거보행자겸용도로,Y,1,0.1894,1,1,0,0
37.67774,127.37666,37.695039,127.384785,2.5,3.0,자전거보행자겸용도로,Y,1,0.1989,2,1,0,0
37.840334,127.513759,37.846917,127.508016,0.65,2.5,자전거우선도로,Y,1,0.1533,0,0,0,0
37.834461,127.517185,37.840334,127.513759,0.67,2.5,자전거보행자겸용도로,Y,1,0.1534,0,0,0,0
37.83167,127.518273,37.834461,127.517185,0.3,4.0,자전거우선도로,Y,1,0.2647,0,1,0,0
37.847085,127.506159,37.85847,127.516326,1.9,1.5,자전거전용도로,Y,0,0.0834,0,0,0,0
37.876051,127.527433,37.881911,127.548394,2.7,3.0,자전거우선도로,Y,1,0.1997,0,0,0,0
37.864708,127.53019,37.876051,127.527433,1.3,2.9,자전거우선도로,Y,1,0.1862,0,0,0,0
37.855675,127.514975,37.864708,127.53019,2.0,2.9,자전거우선도로,Y,1,0.1892,0,0,0,0
37.854408,127.512206,37.855675,127.514975,0.6,3.4,자전거우선도로,Y,1,0.2208,0,0,0,0
37.847096,127.506113,37.854408,127.512206,1.28,3.4,자전거우선도로,Y,1,0.2237,0,0,0,0
37.843698,127.505464,37.847096,127.506113,0.39,3.4,자전거전용도로,Y,1,0.2199,0,0,0,0
37.840184,127.506712,37.843698,127.505464,0.89,3.4,자전거우선도로,Y,1,0.2221,0,0,0,0
37.823395,127.348983,37.826503,127.347988,0.5,1.5,자전거보행자겸용도로,Y,0,0.0774,0,0,0,0
37.826794,127.511767,37.836717,127.508467,1.2,1.5,자전거전용도로,Y,0,0.0804,0,3,0,0
37.811109,127.521607,37.813046,127.510761,1.07,2.5,자전거보행자겸용도로,Y,1,0.1551,1,0,0,0
37.813046,127.510761,37.811109,127.521607,1.07,2.5,자전거보행자겸용도로,Y,1,0.1551,1,0,0,0
37.806735,127.526104,37.817211,127.519441,1.5,3.0,자전거보행자겸용도로,Y,1,0.1946,1,1,0,0
37.813188,127.51523,37.806793,127.525101,1.2,2.8,자전거보행자겸용도로,Y,1,0.1782,1,0,0,0
37.816951,127.514508,37.825038,127.521506,1.2,3.0,자전거보행자겸용도로,Y,1,0.1933,1,3,0,0
37.810578,127.497962,37.816951,127.514508,1.86,3.7,자전거우선도로,Y,1,0.2488,1,2,0,0
37.776159,127.466031,37.810578,127.497962,5.3,3.0,자전거보행자겸용도로,Y,1,0.2109,2,0,0,0
37.773089,127.460463,37.776159,127.466031,0.7,3.8,자전거우선도로,Y,1,0.2514,1,0,0,0
37.772009,127.452293,37.773089,127.460463,0.8,3.2,자전거보행자겸용도로,Y,1,0.2066,0,0,0,0
37.762774,127.444841,37.772009,127.452293,1.18,3.0,자전거우선도로,Y,1,0.1932,0,0,0,0
37.745165,127.43601,37.762774,127.444841,2.2,3.3,자전거보행자겸용도로,Y,1,0.2202,0,0,0,0
37.680599,127.375914,37.685996,127.369048,0.88,2.3,자전거보행자겸용도로,Y,1,0.1392,2,0,0,0
37.747258,127.42843,37.773299,127.372598,6.96,7.0,자전거우선도로,Y,1,0.5191,5,0,0,0
37.818089,127.326049,37.817447,127.32624,1.21,3.0,자전거우선도로,Y,1,0.1933,0,0,0,0
37.737842,127.431807,37.742902,127.432596,0.68,3.0,자전거우선도로,Y,1,0.1911,0,0,0,0
37.657749,127.378205,37.67277,127.381994,1.195,3.7,자전거보행자겸용도로,Y,1,0.246,1,0,0,0
37.819627,127.514469,37.820657,127.519006,0.49,2.9,자전거보행자겸용도로,Y,1,0.1827,1,3,0,0
37.820778,127.512488,37.825352,127.512452,0.49,2.0,자전거보행자겸용도로,Y,1,0.115,1,3,0,0
37.818009,127.511057,37.821309,127.51283,0.47,3.5,자전거보행자겸용도로,Y,1,0.2278,1,3,0,0
37.838907,127.505139,37.83798,127.499244,0.55,1.5,자전거보행자겸용도로,Y,0,0.0776,0,0,0,0
37.6100976,127.1102563,37.6165592295,127.10975613,0.08,1.5,자전거보행자겸용도로,Y,0,0.0756,1,0,1,8
37.58320712,127.084164,37.5792086847,127.0812079775,0.21,1.5,자전거전용도로,Y,0,0.0761,1,0,0,14
37.57920868,127.081208,37.5798072076,127.0757995578,0.32,1.5,자전거전용도로,Y,0,0.0766,1,0,0,12
37.59835362,127.1148164,37.603111399,127.1162801461,0.38,1.5,자전거보행자겸용도로,Y,0,0.0769,3,0,1,0
37.6153857,127.0948865,37.6141617434,127.1009266467,0.54,1.5,자전거보행자겸용도로,Y,0,0.0775,2,1,0,17
37.61281646,127.1009461,37.6100975955,127.110256286,0.18,1.5,자전거보행자겸용도로,Y,0,0.076,2,0,1,8
37.61446295,127.1051519,37.617958,127.111358,0.8,1.5,자전거보행자겸용도로,Y,0,0.0787,0,0,1,8
37.61311939,127.1123062,37.6144629486,127.1051518655,1.5,1.5,자전거보행자겸용도로,Y,0,0.0817,1,0,1,8
